Actual Transaction Arrival Rate,Block Size,Orderers,Throughput,Avg Latency
10,10,3,10,0.49
10,15,3,9.9,0.76
10,20,3,10,1
10,25,3,9.9,1.1
10,30,3,9.9,1.08
10,35,3,9.9,1.07
10,40,3,9.8,1.07
10,45,3,10,1.08
10,50,3,9.9,1.09
10,55,3,10,1.08
10,60,3,9.9,1.08
10,65,3,9.8,1.07
10,70,3,9.9,1.07
10,75,3,9.9,1.08
10,80,3,9.9,1.08
10,85,3,9.9,1.08
10,90,3,9.8,1.08
10,95,3,9.9,1.08
10,100,3,9.9,1.08
10,105,3,10,1.09
10,110,3,9.8,1.08
10,115,3,9.9,1.08
10,120,3,9.9,1.07
10,125,3,9.9,1.08
10,130,3,9.8,1.07
10,135,3,9.9,1.08
10,140,3,9.9,1.09
10,145,3,9.9,1.09
10,150,3,9.9,1.08
10,155,3,9.9,1.09
10,160,3,9.9,1.09
10,165,3,9.9,1.09
10,170,3,9.9,1.08
10,175,3,10,1.09
10,180,3,9.9,1.08
10,185,3,9.9,1.1
10,190,3,9.8,1.1
10,195,3,9.8,1.1
10,200,3,9.8,1.1
10,205,3,9.9,1.1
10,210,3,9.9,1.1
10,215,3,9.9,1.11
10,220,3,9.8,1.11
10,225,3,9.9,1.1
10,230,3,9.9,1.1
10,235,3,9.8,1.1
10,240,3,10,1.11
10,245,3,9.8,1.11
10,250,3,10,1.1
10,255,3,9.8,1.09
10,260,3,9.8,1.11
10,265,3,9.8,1.09
10,270,3,9.8,1.1
10,275,3,9.8,1.1
10,280,3,9.9,1.11
10,285,3,9.9,1.11
10,290,3,10,1.11
10,295,3,9.8,1.11
10,300,3,9.8,1.11
10,305,3,9.9,1.11
10,310,3,10,1.1
10,315,3,9.9,1.1
10,320,3,9.8,1.1
10,325,3,9.9,1.1
10,330,3,9.9,1.1
10,335,3,9.9,1.1
10,340,3,9.9,1.09
10,345,3,9.9,1.1
10,350,3,9.9,1.1
10,355,3,9.9,1.1
10,360,3,9.9,1.09
10,365,3,9.9,1.09
10,370,3,9.9,1.1
10,375,3,9.9,1.1
10,380,3,9.9,1.09
10,385,3,9.8,1.09
10,390,3,9.9,1.1
10,395,3,9.9,1.11
10,400,3,9.9,1.1
10,405,3,9.8,1.1
10,410,3,9.8,1.1
10,415,3,9.8,1.09
10,420,3,9.9,1.1
10,425,3,9.9,1.11
10,430,3,9.9,1.1
10,435,3,10,1.1
10,440,3,9.9,1.11
10,445,3,9.9,1.1
10,450,3,9.9,1.1
10,455,3,9.9,1.1
10,460,3,9.8,1.09
10,465,3,9.9,1.1
10,470,3,9.9,1.09
10,475,3,9.9,1.09
10,480,3,10,1.09
10,485,3,9.9,1.1
10,490,3,9.9,1.1
10,495,3,9.9,1.1
10,500,3,9.8,1.09
10,505,3,9.9,1.09
10,510,3,9.8,1.09
10,515,3,9.9,1.09
10,520,3,9.8,1.1
10,525,3,9.8,1.1
10,530,3,9.8,1.08
10,535,3,9.8,1.1
10,540,3,9.9,1.1
10,545,3,9.8,1.09
10,550,3,9.8,1.1
10,555,3,9.9,1.1
10,560,3,9.8,1.1
10,565,3,9.9,1.09
10,570,3,9.8,1.08
10,575,3,9.8,1.1
10,580,3,9.8,1.09
10,585,3,9.9,1.09
10,590,3,9.9,1.09
10,595,3,9.8,1.09
10,600,3,9.9,1.1
10,605,3,9.9,1.1
10,610,3,9.9,1.1
10,615,3,9.9,1.1
10,620,3,9.9,1.1
10,625,3,9.8,1.09
10,630,3,9.8,1.1
10,635,3,9.8,1.09
10,640,3,9.8,1.08
10,645,3,9.8,1.09
10,650,3,10,1.1
10,655,3,9.8,1.09
10,660,3,9.9,1.09
10,665,3,9.9,1.09
10,670,3,9.9,1.1
10,675,3,9.9,1.11
10,680,3,10,1.1
10,685,3,9.8,1.09
10,690,3,9.9,1.09
10,695,3,9.8,1.09
10,700,3,9.9,1.09
10,705,3,9.9,1.08
10,710,3,9.9,1.08
10,715,3,9.8,1.08
10,720,3,9.9,1.09
10,725,3,9.9,1.1
10,730,3,9.9,1.08
10,735,3,9.8,1.09
10,740,3,9.9,1.09
10,745,3,9.8,1.08
10,750,3,9.9,1.08
10,755,3,9.8,1.07
10,760,3,9.8,1.08
10,765,3,9.9,1.08
10,770,3,9.9,1.09
10,775,3,9.9,1.08
10,780,3,9.8,1.07
10,785,3,9.8,1.08
10,790,3,9.9,1.08
10,795,3,9.9,1.08
10,800,3,9.8,1.1
15,10,3,15,0.34
