Send Rates,Block Size,Avg Latency,Throughput
35,280,1.23,33.8
110.2,220,0.91,94.5
50.1,335,1.29,47.5
60.1,400,1.3,53.7
110.2,80,0.62,91.9
140.5,425,0.75,122
70.1,170,1.15,61.3
199.8,580,0.74,158.1
160.3,475,0.72,120.6
40,490,1.21,39.8
25,630,1.15,24
50.1,760,1.29,47
159.9,460,0.74,121.9
110.2,95,0.72,92
180.3,265,0.68,164.7
80.1,265,0.95,69.2
85.1,630,0.95,79.9
90.1,785,0.9,80.5
140.2,295,0.8,121.8
105.2,665,0.92,94.1
50.1,115,1.25,47.4
15,505,1.09,14.7
35,510,1.2,34.2
20,350,1.13,19.2
145,770,0.69,123.2
50.1,25,0.3,49.9
100.1,605,0.82,96
155.2,780,0.76,120.7
30,465,1.17,29.9
105.2,290,0.94,94.1
65.1,115,1.16,60.7
15,215,1.13,14.7
175,600,0.68,158
165.3,265,0.67,123.9
140.3,85,0.63,113.6
139.9,400,0.8,122.2
55.1,475,1.29,52.9
125.2,440,0.87,116.6
55.1,580,1.3,52
193.9,310,0.79,157.1
115.3,65,0.51,94.3
185.3,415,0.74,160
135.2,560,0.85,121.5
80.1,330,0.92,69.1
80.2,770,0.93,69
15,320,1.11,14.7
20,790,1.13,19.3
10,455,1.09,9.8
110.2,315,0.86,96.6
159.7,325,0.72,123.4
30,335,1.17,29.8
130.2,320,0.82,120.1
60.1,780,1.31,59
194.2,145,0.78,156.2
150.2,345,0.81,120.9
150.4,315,0.79,119.9
95.1,65,0.52,80.6
125.2,715,0.83,118.6
160.2,600,0.75,122.1
45,285,1.25,43.6
85.1,565,0.96,79.6
25,780,1.17,24.1
50.1,410,1.25,48.1
50.1,725,1.26,47.8
110.2,290,0.9,97.2
110.2,370,0.88,96
200.6,200,0.73,159.2
145.5,115,0.79,117.3
30,485,1.16,29.9
150.2,385,0.93,121.3
65.1,570,1.3,60.9
175.2,550,0.7,163.4
110.2,300,0.9,95.1
65.1,215,1.3,60.9
15,600,1.09,14.7
135.4,410,0.81,122.1
10,210,1.09,9.8
105.2,45,0.34,86.7
