Transaction Arrival Rate,Block Size,Orderer,pre_Latency,pre_Throughput
10,10,3,0.645680694,14.77354071
10,10,5,0.643450694,14.97354071
10,10,7,0.649438649,9.111701411
10,10,9,0.610363197,9.555521601
10,15,3,0.648136311,8.776119441
10,15,5,0.662103444,9.132869929
10,15,7,0.611847275,9.136397761
10,15,9,0.649131327,8.948630732
10,20,3,0.640009766,12.98187353
10,20,5,0.625989406,8.256690425
10,20,7,0.630595403,8.372823542
10,20,9,0.636851411,9.333768672
10,25,3,0.641384058,14.87398474
10,25,5,0.644857495,13.47779333
10,25,7,0.623618286,8.467873591
10,25,9,0.640534645,8.25871374
10,30,3,0.633465915,13.65091802
10,30,5,0.647352403,10.20015051
10,30,7,0.615679478,13.41406652
10,30,9,0.645806997,19.00422155
10,35,3,0.613632434,8.266729182
10,35,5,0.6665345,10.41597387
10,35,7,0.668356734,9.644370478
10,35,9,0.630406814,13.31609442
10,40,3,0.666933375,10.37996313
10,40,5,0.613632958,9.794649714
10,40,7,0.655784636,10.33846838
10,40,9,0.634120303,8.544307917
10,45,3,0.671806293,13.70690252
10,45,5,0.614149272,8.32338354
10,45,7,0.621053629,12.83939001
10,45,9,0.685363942,8.236158198
10,50,3,0.616990261,13.80535681
10,50,5,0.70704041,9.359980219
10,50,7,0.627242546,9.615807551
10,50,9,0.612479722,13.2091654
10,55,3,0.651137536,9.175033015
10,55,5,0.646654146,9.688112849
10,55,7,0.643819719,8.510621089
10,55,9,0.64007495,10.60853979
10,60,3,0.61482104,13.93069708
10,60,5,0.654157763,9.156580561
10,60,7,0.624412417,8.301079768
10,60,9,0.604558819,11.1007517
10,65,3,0.682829457,8.392846125
10,65,5,0.616969281,18.48564703
10,65,7,0.625623941,13.28958227
10,65,9,0.625261377,13.34427435
10,70,3,0.637888663,8.394826716
10,70,5,0.684470384,8.273855036
10,70,7,0.624635433,9.153533381
10,70,9,0.614315336,9.052625483
10,75,3,0.629273765,9.127628535
10,75,5,0.627023654,10.53806402
10,75,7,0.660684686,15.21826879
10,75,9,0.642068391,13.06262915
10,80,3,0.622279154,8.881284541
10,80,5,0.645352869,13.45062048
10,80,7,0.643249159,13.86668646
10,80,9,0.645814507,13.75789587
10,85,3,0.642967813,8.54152624
10,85,5,0.618816762,10.24216711
10,85,7,0.614809125,9.891968745
10,85,9,0.625356614,9.154764765
10,90,3,0.637463229,10.40500891
10,90,5,0.642976563,9.130721491
10,90,7,0.627485501,9.813643855
10,90,9,0.668290716,11.9946192
10,95,3,0.64677388,9.970963496
10,95,5,0.711122721,9.900060481
10,95,7,0.64165632,8.678829402
10,95,9,0.67237082,10.03948156
10,100,3,0.625415557,8.367209834
10,100,5,0.659581976,10.04425299
10,100,7,0.625839018,18.65633184
10,100,9,0.672120624,8.596209162
10,105,3,0.614353847,13.89199163
10,105,5,0.620433282,9.204422969
10,105,7,0.66485384,9.187191218
10,105,9,0.627759962,15.14512426
10,110,3,0.637873977,10.19284918
10,110,5,0.671920483,8.248995417
10,110,7,0.648030298,8.585082453
10,110,9,0.623360955,9.342817134
10,115,3,0.63460707,13.22022802
10,115,5,0.624011325,13.21803076
10,115,7,0.640743595,13.02927191
10,115,9,0.665789931,9.144849604
10,120,3,0.676832621,13.71943457
10,120,5,0.624049466,8.878487605
10,120,7,0.624380755,8.473942011
10,120,9,0.636797672,12.78691656
10,125,3,0.632503813,8.461126155
10,125,5,0.633775514,8.338630122
10,125,7,0.615495037,9.334205073
10,125,9,0.612117534,8.414838618
10,130,3,0.628482776,9.97234289
10,130,5,0.63666169,9.513590449
10,130,7,0.618790083,9.636567134
