,Number
2014-09-01 00:02:00,3122
2014-09-01 00:04:00,2319
2014-09-01 00:06:00,2922
2014-09-01 00:08:00,2825
2014-09-01 00:10:00,2621
2014-09-01 00:12:00,2521
2014-09-01 00:14:00,3424
2014-09-01 00:16:00,2520
2014-09-01 00:18:00,2420
2014-09-01 00:20:00,1710
2014-09-01 00:22:00,2116
2014-09-01 00:24:00,2320
2014-09-01 00:26:00,1912
2014-09-01 00:28:00,1915
2014-09-01 00:30:00,2016
2014-09-01 00:32:00,2927
2014-09-01 00:34:00,2722
2014-09-01 00:36:00,2221
2014-09-01 00:38:00,1816
2014-09-01 00:40:00,3124
2014-09-01 00:42:00,1918
2014-09-01 00:44:00,1915
2014-09-01 00:46:00,1813
2014-09-01 00:48:00,2825
2014-09-01 00:50:00,2312
2014-09-01 00:52:00,1713
2014-09-01 00:54:00,1312
2014-09-01 00:56:00,2019
2014-09-01 00:58:00,2623
2014-09-01 01:00:00,2520
2014-09-01 01:02:00,1009
2014-09-01 01:04:00,1310
2014-09-01 01:06:00,2220
2014-09-01 01:08:00,1817
2014-09-01 01:10:00,2323
2014-09-01 01:12:00,1814
2014-09-01 01:14:00,1010
2014-09-01 01:16:00,1411
2014-09-01 01:18:00,2319
2014-09-01 01:20:00,1412
2014-09-01 01:22:00,2922
2014-09-01 01:24:00,1916
2014-09-01 01:26:00,1208
2014-09-01 01:28:00,2617
2014-09-01 01:30:00,1615
2014-09-01 01:32:00,2219
2014-09-01 01:34:00,1513
2014-09-01 01:36:00,1814
2014-09-01 01:38:00,1615
2014-09-01 01:40:00,1714
2014-09-01 01:42:00,1613
2014-09-01 01:44:00,1007
2014-09-01 01:46:00,1311
2014-09-01 01:48:00,1614
2014-09-01 01:50:00,1312
2014-09-01 01:52:00,1414
2014-09-01 01:54:00,909
2014-09-01 01:56:00,1309
2014-09-01 01:58:00,1711
2014-09-01 02:00:00,1412
2014-09-01 02:02:00,4536
2014-09-01 02:04:00,3732
2014-09-01 02:06:00,5139
2014-09-01 02:08:00,4439
2014-09-01 02:10:00,3932
2014-09-01 02:12:00,3833
2014-09-01 02:14:00,4129
2014-09-01 02:16:00,3730
2014-09-01 02:18:00,3531
2014-09-01 02:20:00,2718
2014-09-01 02:22:00,3428
2014-09-01 02:24:00,3229
2014-09-01 02:26:00,3324
2014-09-01 02:28:00,3023
2014-09-01 02:30:00,3025
2014-09-01 02:32:00,4339
2014-09-01 02:34:00,3931
2014-09-01 02:36:00,3029
2014-09-01 02:38:00,3026
2014-09-01 02:40:00,4132
2014-09-01 02:42:00,3429
2014-09-01 02:44:00,3126
2014-09-01 02:46:00,2721
2014-09-01 02:48:00,4136
2014-09-01 02:50:00,3723
2014-09-01 02:52:00,2419
2014-09-01 02:54:00,2522
2014-09-01 02:56:00,2623
2014-09-01 02:58:00,3631
2014-09-01 03:00:00,4537
2014-09-01 03:02:00,2521
2014-09-01 03:04:00,2622
2014-09-01 03:06:00,3632
2014-09-01 03:08:00,2522
2014-09-01 03:10:00,3735
2014-09-01 03:12:00,2620
2014-09-01 03:14:00,1818
2014-09-01 03:16:00,2824
2014-09-01 03:18:00,4032
2014-09-01 03:20:00,2926
2014-09-01 03:22:00,4133
2014-09-01 03:24:00,2620
2014-09-01 03:26:00,2621
2014-09-01 03:28:00,3726
2014-09-01 03:30:00,3429
2014-09-01 03:32:00,2925
2014-09-01 03:34:00,2321
2014-09-01 03:36:00,3127
2014-09-01 03:38:00,2726
2014-09-01 03:40:00,3027
